experiment_name,percentile,inference_interval_ticks,generation_length_ticks,generation_length_frames,constraint_status_code,constraint_status,rtt_percentile_ms,constraint1_satisfied,constraint2_satisfied,both_constraints_satisfied
mac_latency_test,90.0,3,5,9,2,C2 Violated,358.39275440666825,True,False,False
mac_latency_test,90.0,3,8,15,-1,No Data,524.1937253042124,False,False,False
mac_latency_test,90.0,4,1,1,2,C2 Violated,201.23022884363297,True,False,False
mac_latency_test,90.0,4,3,5,-1,No Data,281.08902908279555,False,False,False
mac_latency_test,90.0,4,5,9,2,C2 Violated,358.39275440666825,True,False,False
mac_latency_test,90.0,4,8,15,-1,No Data,524.1937253042124,False,False,False
mac_latency_test,90.0,5,1,1,2,C2 Violated,201.23022884363297,True,False,False
mac_latency_test,90.0,5,3,5,-1,No Data,281.08902908279555,False,False,False
mac_latency_test,90.0,5,5,9,2,C2 Violated,358.39275440666825,True,False,False
mac_latency_test,90.0,5,8,15,-1,No Data,524.1937253042124,False,False,False
mac_latency_test,90.0,6,1,1,2,C2 Violated,201.23022884363297,True,False,False
mac_latency_test,90.0,6,3,5,-1,No Data,281.08902908279555,False,False,False
mac_latency_test,90.0,6,5,9,2,C2 Violated,358.39275440666825,True,False,False
mac_latency_test,90.0,6,8,15,-1,No Data,524.1937253042124,False,False,False
mac_latency_test,90.0,7,1,1,2,C2 Violated,201.23022884363297,True,False,False
mac_latency_test,90.0,7,3,5,-1,No Data,281.08902908279555,False,False,False
mac_latency_test,90.0,7,5,9,2,C2 Violated,358.39275440666825,True,False,False
mac_latency_test,90.0,7,8,15,-1,No Data,524.1937253042124,False,False,False
mac_latency_test,99.5,1,1,1,3,Both Violated,235.11883298109706,False,False,False
mac_latency_test,99.5,1,3,5,-1,No Data,317.31028874812057,False,False,False
mac_latency_test,99.5,1,5,9,1,C1 Violated,390.59777151007415,False,True,False
mac_latency_test,99.5,1,8,15,-1,No Data,581.4262929520918,False,False,False
mac_latency_test,99.5,2,1,1,2,C2 Violated,235.11883298109706,True,False,False
mac_latency_test,99.5,2,3,5,-1,No Data,317.31028874812057,False,False,False
mac_latency_test,99.5,2,5,9,1,C1 Violated,390.59777151007415,False,True,False
mac_latency_test,99.5,2,8,15,-1,No Data,581.4262929520918,False,False,False
mac_latency_test,99.5,3,1,1,2,C2 Violated,235.11883298109706,True,False,False
mac_latency_test,99.5,3,3,5,-1,No Data,317.31028874812057,False,False,False
mac_latency_test,99.5,3,5,9,2,C2 Violated,390.59777151007415,True,False,False
