request_id,num_generated_notes,generation_start_tick,round_trip_time,total_network_latency,server_request_arrival_time,server_response_output_time,server_preprocess_start_time,server_inference_start_time,server_inference_end_time,server_postprocess_start_time,server_processing_duration,preprocess_duration,inference_duration,postprocess_duration,generation_length_frames,prompt_length_ticks,experiment_name,experiment_duration,generation_length,experiment_source,experiment_type
21,0,400,0.1957913060032297,0.1636024860490579,646347.845041733,646347.877230553,646347.845182035,646347.846913562,646347.876893648,646347.876901277,0.0321888199541717,0.0017315270379185,0.0299800859065726,0.0003292759647592,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
22,0,400,0.182379226986086,0.1505522140942048,646348.126330523,646348.158157536,646348.126461585,646348.127876056,646348.157773231,646348.157780491,0.0318270128918811,0.0014144709566608,0.0298971750307828,0.0003770448965951,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
23,0,400,0.1839809239900205,0.1521424589736852,646348.412100379,646348.443938844,646348.412228991,646348.413661553,646348.443605789,646348.443612779,0.0318384650163352,0.0014325618976727,0.0299442360410466,0.0003260649973526,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
24,0,400,0.1816081279830541,0.1498479050060268,646348.693308828,646348.725069051,646348.69343362,646348.694854461,646348.724714315,646348.724721066,0.0317602229770273,0.0014208409702405,0.0298598540248349,0.00034798507113,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
25,0,400,0.2141745789849665,0.1816919740231242,646348.976101569,646349.008584174,646348.976238321,646348.977745194,646349.008140117,646349.008147557,0.0324826049618423,0.0015068729408085,0.0303949230583384,0.0004366169450804,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
26,0,400,0.1806331289990339,0.1484119089145679,646349.289796572,646349.322017792,646349.289980675,646349.291510999,646349.321580655,646349.321588106,0.032221220084466,0.0015303239924833,0.0300696560880169,0.0004296860424801,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
27,0,400,0.1839186240104027,0.1521440110518597,646349.572794058,646349.604568671,646349.572917849,646349.574376492,646349.604249966,646349.604257196,0.031774612958543,0.0014586430042982,0.029873474035412,0.000311475014314,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
28,0,400,0.1818073269969318,0.1499737219710368,646349.856475952,646349.888309557,646349.856617844,646349.858187238,646349.887985912,646349.887993103,0.0318336050258949,0.0015693940222263,0.0297986740479245,0.0003164539812132,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
29,0,400,0.1814890269888565,0.1489378520054742,646350.138904,646350.171455175,646350.139067492,646350.140555985,646350.171054129,646350.17106168,0.0325511749833822,0.0014884930569678,0.0304981439840048,0.0003934950800612,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
30,0,400,0.1798854299995582,0.1479837450606282,646350.419378697,646350.451280382,646350.419508639,646350.42091986,646350.450885227,646350.450892617,0.0319016849389299,0.0014112209901213,0.0299653669353574,0.0003877650015056,1,384,andrew_latency_test_GL1_PL384,57.46229362487793,1,andrew_latency_test,bulk_benchmark
