request_arrival_time,response_output_time,preprocess_start_time,inference_start_time,inference_end_time,postprocess_start_time,round_trip_time,server_processing_duration,total_network_latency
158437.356477618,158437.702570371,158437.356480618,158437.358886215,158437.700021875,158437.700022475,0.3754957909695804,0.3460927529959008,0.029403037973679602
158437.881081389,158438.207684372,158437.881085089,158437.883837984,158438.205173276,158438.205173476,0.34987745783291757,0.3266029829974286,0.023274474835488945
158438.388364887,158438.786734557,158438.388368087,158438.390902282,158438.783705362,158438.783705562,0.4169653751887381,0.3983696700015571,0.01859570518718101
158438.905946869,158439.269839895,158438.905951969,158438.908500965,158439.267124199,158439.267124499,0.3837855828460306,0.36389302599127404,0.01989255685475655
158439.422409054,158439.76102252,158439.422412054,158439.42486165,158439.758101724,158439.758101924,0.36110641597770154,0.33861346598132513,0.02249294999637641
158439.931007052,158440.241461263,158439.931010052,158439.933476748,158440.238974167,158440.238974367,0.33850166690535843,0.3104542110231705,0.028047455882187933
158440.443793444,158440.794571592,158440.443838544,158440.44635784,158440.791846496,158440.791846696,0.3847250840626657,0.3507781480147969,0.0339469360478688
158440.958154234,158441.3610612,158440.958201934,158440.96083233,158441.357949805,158441.357950005,0.43099025008268654,0.40290696601732634,0.028083284065360203
158441.466659134,158441.843379242,158441.466696834,158441.46933323,158441.840349747,158441.840350047,0.39455070812255144,0.3767201080045197,0.017830600118031725
158441.985867318,158442.292932236,158441.985911118,158441.989381913,158442.29014944,158442.29014964,0.3395996249746531,0.30706491801538505,0.03253470695926808
158442.502430706,158442.864103039,158442.502434106,158442.504974102,158442.861129044,158442.861129244,0.3825369579717517,0.36167233300511725,0.020864624966634437
158443.026314385,158443.399729599,158443.026317785,158443.028915981,158443.396525604,158443.396525804,0.4063643750268966,0.373415214009583,0.0329491610173136
158443.529180496,158443.887528135,158443.529183796,158443.531902692,158443.884424239,158443.884424439,0.37991037499159575,0.3583476390049327,0.02156273598666303
158444.042445892,158444.426245091,158444.042488892,158444.045320687,158444.422970596,158444.422970796,0.4072633341420442,0.3837991989857983,0.023464135156245902
158444.555847286,158444.944591968,158444.555884486,158444.558642682,158444.941354073,158444.941354273,0.4160346251446754,0.38874468198628165,0.027289943158393726
158445.080379752,158445.469188134,158445.080417452,158445.083264148,158445.46557024,158445.46557084,0.41189325018785894,0.3888083820056636,0.02308486818219535
158445.611108908,158445.981042521,158445.611112508,158445.613932004,158445.977921226,158445.977921526,0.4084958750754595,0.36993361299391836,0.03856226208154112
158446.135449876,158446.489368814,158446.135522376,158446.138410771,158446.486350519,158446.486350719,0.38176791719160974,0.35391893799533136,0.02784897919627838
158446.648700761,158446.994084714,158446.648744961,158446.651775456,158446.991157818,158446.991158018,0.3757162089459598,0.3453839530120604,0.030332255933899432
158447.168858837,158447.560183016,158447.168902737,158447.171884132,158447.557067121,158447.557067321,0.4220063330139965,0.39132417901419103,0.03068215399980545
158447.679216328,158448.015950195,158447.679253428,158447.683175422,158448.012809,158448.0128093,0.3659838328603655,0.33673386700684205,0.029249965853523463
158448.195560211,158448.567409522,158448.195598111,158448.198628506,158448.564325527,158448.564325927,0.3941062497906387,0.37184931099181995,0.022256938798818737
158448.716691486,158449.083063107,158448.716727386,158448.719762182,158449.079848913,158449.079849213,0.3972410000860691,0.36637162099941634,0.03086937908665277
158449.230533574,158449.627601047,158449.230570374,158449.233858869,158449.624180353,158449.624180553,0.4148523749317974,0.3970674729789607,0.017784901952836663
158449.742973265,158450.154612916,158449.742976865,158449.74614866,158450.151202221,158450.151202421,0.4255064169410616,0.4116396509925835,0.013866765948478132
158450.255570456,158450.596580218,158450.255573556,158450.258798251,158450.593332323,158450.593332523,0.3590201670303941,0.34100976199260913,0.01801040503778495
158450.768540647,158451.147027051,158450.768543747,158450.772423941,158451.143742956,158451.143743156,0.4053214997984469,0.3784864039917011,0.026835095806745812
158451.289324827,158451.750199201,158451.289327927,158451.292561822,158451.746108308,158451.746108508,0.49401633394882083,0.46087437399546616,0.03314195995335467
158451.807196312,158452.216386468,158451.807199612,158451.811494205,158452.212814474,158452.212814674,0.43373320810496807,0.40919015600229613,0.024543052102671936
158452.331704887,158452.707274526,158452.331741987,158452.334934382,158452.703874032,158452.703874232,0.4009739998728037,0.3755696389998775,0.02540436087292619
158452.854212344,158453.252759479,158452.854249144,158452.857551537,158453.249165586,158453.249165786,0.42025250010192394,0.3985471349733416,0.021705365128582343
158453.363669567,158453.729557865,158453.363726466,158453.36710756,158453.726039272,158453.726039572,0.3861358331050724,0.36588829799438827,0.02024753511068411
158453.879337978,158454.2333792,158453.879405478,158453.883144971,158454.230037606,158454.230037806,0.38517416710965335,0.3540412220172584,0.031132945092394948
158454.391724496,158454.798714917,158454.391728296,158454.395513589,158454.795077124,158454.795077324,0.43845604197122157,0.4069904210045934,0.031465620966628194
158454.900369623,158455.281525193,158454.900406223,158454.903880216,158455.2778851,158455.2778853,0.40515891602262855,0.3811555699794553,0.024003346043173224
158455.420899227,158455.813247977,158455.420968327,158455.42436302,158455.809707283,158455.809707483,0.41870062495581806,0.3923487499996554,0.026351874956162646
158455.931237451,158456.313479021,158455.931280651,158455.934708945,158456.309988027,158456.309988227,0.4097620411776006,0.38224156998330727,0.02752047119429335
158456.460745339,158456.798389595,158456.460748639,158456.464683532,158456.795078101,158456.795078301,0.36033429112285376,0.33764425601111725,0.022690035111736506
158456.97901895,158457.352166638,158456.97902235,158456.982980342,158457.348585644,158457.348585844,0.39477716595865786,0.37314768802025355,0.021629477938404307
158457.498998057,158457.815509954,158457.499046857,158457.50280975,158457.81218346,158457.81218366,0.3484457079321146,0.31651189699186943,0.031933810940245166
158458.006946389,158458.306131919,158458.006949389,158458.010914581,158458.302915625,158458.302915825,0.32609912496991456,0.2991855299915187,0.02691359497839585
158458.523980103,158458.841942098,158458.524032103,158458.528116395,158458.838577004,158458.838577204,0.3418102920986712,0.3179619949951302,0.023848297103540972
158459.050465801,158459.400933028,158459.050503101,158459.054183394,158459.397348033,158459.397348333,0.3753992090933025,0.3504672269918956,0.024931982101406902
