"order","style","id","title","creator","role","xml_time_signatures","npz_path","xml_path","first8_onset_note_count","first8_distinct_onset_count","chord_onset_ratio","polyphonic_active_ratio","peak_onsets_per_beat","min_ioi_beats","large_leap_gt7_ratio","robust_pitch_range","risk_flags","selection_status","keep","comments"
"11","film","3943646","Time","Hans Zimmer","retained_from_v1","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/3943646.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/3943646.musicxml","1","1","0.18292682926829268","0.5328947368421053","4.0","0.25","0.07755102040816327","23.0","first8_sparse, high_polyphony","provisional_review","",""
"12","film","121149","My Heart Will Go On","James Horner | Will Jennings","new_v2_candidate","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/121149.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/121149.musicxml","12","12","0.024844720496894408","0.03587443946188341","1.5","0.5","0.0375","16.599999999999994","","provisional_review","",""
"13","film","1662546","The Pink Panther","Henry Mancini","new_v2_candidate","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/1662546.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/1662546.musicxml","8","4","0.21311475409836064","0.28874734607218683","2.25","0.25","0.024793388429752067","15.799999999999969","","provisional_review","",""
"14","film","5331846","Interstellar Medley for Piano","Aldo Emanuel | Hans Zimmer","new_v2_candidate","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/5331846.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/5331846.musicxml","8","8","0.27197346600331673","0.40604026845637586","4.0","0.25","0.14451827242524917","31.0","wide_pitch_range","provisional_review","",""
"15","film","5588159","Speechless","Composer: Alan Menken, Benj Pasek | Justin Paul | Arranger: The Blue Notes","new_v2_candidate","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/5588159.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/5588159.musicxml","6","4","0.4197002141327623","0.4568279240661359","1.875","0.25","0.060085836909871244","17.0","high_chord_onset","provisional_review","",""
"16","anime","6386770","One Summer's Day","Joe Hisaishi","retained_from_v1","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/6386770.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/6386770.musicxml","6","2","0.40654205607476634","0.533011272141707","2.125","0.25","0.056338028169014086","21.549999999999997","first8_sparse, high_chord_onset, high_polyphony","provisional_review","",""
"17","anime","4827295","Tonari no Totoro","久石譲 | 宮崎駿","retained_from_v1","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/4827295.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/4827295.musicxml","10","10","0.0","0.0","2.375","0.25","0.02857142857142857","10.0","","provisional_review","",""
"18","anime","1213481","aLIEz","Hiroyuki Sawano","retained_from_v1","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/1213481.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/1213481.musicxml","14","14","0.32706766917293234","0.3831417624521073","2.0","0.25","0.08662900188323917","32.0","wide_pitch_range","provisional_review","",""
"19","anime","172486","Kimi wo Nosete (Carrying You)","Joe Hisaishi","new_v2_candidate","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/172486.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/172486.musicxml","1","1","0.031042128603104215","0.053257790368271954","2.5","0.25","0.04","26.25","first8_sparse","provisional_review","",""
"20","anime","1705281","Gurenge","Artist: LISA       Anime: Demon Slayer | Arranged by Teacher Valarie","new_v2_candidate","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/1705281.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/1705281.musicxml","6","6","0.09313725490196079","0.06153846153846154","2.125","0.25","0.04926108374384237","17.0","","provisional_review","",""
"21","game","188997","Dearly Beloved","Yoko Shimomura","retained_from_v1","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/188997.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/188997.musicxml","16","16","0.0","0.0","2.0","0.25","0.0703125","14.0","","provisional_review","",""
"22","game","5990547","Megalovania","David Peacock | Toby Fox","retained_from_v1","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/5990547.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/5990547.musicxml","8","8","0.1517094017094017","0.17994858611825193","1.75","0.25","0.05139186295503212","29.0","","provisional_review","",""
"23","game","4792790","Minecraft - Calm","C418","retained_from_v1","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/4792790.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/4792790.musicxml","4","2","0.4444444444444444","0.7625","0.875","0.5","0.3258426966292135","19.0","first8_sparse, high_chord_onset, high_polyphony, high_large_leap_rate","provisional_review","",""
"24","game","1315621","Undertale","Toby Fox | Arranged by Bigyihsuan","new_v2_candidate","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/1315621.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/1315621.musicxml","13","13","0.006191950464396285","0.0","1.875","0.5","0.09937888198757763","25.69999999999999","","provisional_review","",""
"25","game","1531901","Fallen Down","Toby Fox | Transcribed by: Shadows","new_v2_candidate","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/1531901.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/1531901.musicxml","15","15","0.0","0.0","2.0","0.5","0.0935672514619883","8.0","","provisional_review","",""
